Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.106608971953392,26.05,24.559
2,1.3988074827194215,52.93333333333332,53.335
3,0.9869474709033966,67.45,66.26899999999999
4,0.8204707741737366,72.55999999999999,73.08500000000001
5,0.6837724864482879,77.18333333333334,84.64500000000001
6,0.5322108719836581,82.4,86.36
7,0.4484909660541094,85.125,90.092
8,0.4753642775118351,87.22222222222221,89.454
9,0.47751343664713203,84.53999999999999,89.501
10,0.3497660921265681,88.83636363636364,92.287
